Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Primary energy consumption per capita (kWh/person),gdp_per_capita
0.9887552858974207,0.985,0.006039150354019158,0.10731862926534347,0.024320198248140298
0.9885466735085184,0.987,0.004269054560599749,0.10952277169000346,0.027282989131612385
0.9883838950842847,0.988,0.004269054560599749,0.11355645555411889,0.031106281790715097
0.9929112295033227,0.99,0.0031236984589754265,0.11831316287007335,0.03899202510921972
0.9883053920144416,0.991,0.003227821740941274,0.12314931344396808,0.03056138019947105
0.9884445952133663,0.992,0.0027072053311120365,0.11822489365640709,0.035403393401841975
0.9887392855297281,0.993,0.0018742190753852559,0.12273815330298839,0.043303516220882125
0.9874899403637638,0.9940000000000001,0.0018742190753852559,0.1315676625866095,0.04440998462361902
0.9898955146318112,0.9940000000000001,0.0013536026655560183,0.13645212416323615,0.04365932757011287
0.9907543191774837,0.995,0.0007288629737609329,0.14589512427747145,0.043606406047455394
0.9917634562917607,0.995,0.0006247396917950853,0.15079745020649743,0.03294884554555956
0.9934201019568342,0.996,0.0008329862557267804,0.1476961213787147,0.031073376836719697
0.9963086746660802,0.996,0.0014577259475218659,0.14642975123454746,0.032396251778117786
0.9969400815810342,0.996,0.0019783423573511037,0.15422328258151288,0.03265816220438084
0.9949365925023733,0.997,0.0016659725114535609,0.15700402836318403,0.03142357970724948
0.9980164607468798,0.997,,0.1442069140065117,0.02589037459760696
0.23251647949009524,0.41100000000000003,0.7646813827571844,0.019112502835362418,0.003605374589083184
0.18985480037973163,0.41700000000000004,0.7532278217409413,0.02008273802390714,0.0033662776638357823
0.2541815241937504,0.41700000000000004,0.7332361516034985,0.020698778145890728,0.006163316282077772
0.2649226216598008,0.42,0.6782590587255309,0.02219913557778482,0.0070584907911857165
0.27563449313777494,0.419,0.6447313619325281,0.023703291840075615,0.009267554744060972
0.2863409265160966,0.426,0.7119950020824656,0.019475540273540894,0.014509416500352016
0.2970663274189044,0.429,0.6469179508538109,0.023689548842056818,0.020158776118829685
